,X,Condition,Price,Model_Year,Mileage,Exterior_Color,Make,Type,Feedback_Perc,N_Reviews,Seller_Status,Auction,Buy_Now,num_pos_words,uses_excl,all_caps,has_warranty,review_polarity,review_positivity
117,117,Used,5142.89,2003,37779,other,Harley-Davidson,Cruiser,100,3743,other,FALSE,TRUE,0,FALSE,FALSE,FALSE,-0.071428571,0.142857143
118,118,New,13984.34,2015,2,blue,Honda,Touring,9.9,32557,other,FALSE,TRUE,0,FALSE,FALSE,TRUE,0,0
119,119,Used,22365.33,2016,1432,white,Harley-Davidson,Touring,100,69,Private Seller,TRUE,FALSE,0,FALSE,FALSE,TRUE,0,0
120,120,Used,10914.32,1968,22900,other,BMW,Other,100,232,other,FALSE,TRUE,1,FALSE,FALSE,FALSE,0.215909091,0.553030303
121,121,Used,25048.09,2015,6393,orange,Harley-Davidson,Touring,100,762,other,FALSE,TRUE,2,FALSE,FALSE,TRUE,0.032142857,0.185714286
122,122,Used,7639.49,2014,233,other,Harley-Davidson,Standard,100,979,Private Seller,FALSE,TRUE,0,FALSE,FALSE,FALSE,0,0
123,123,Used,20356.89,2012,11060,orange,Harley-Davidson,Touring,100,120,Private Seller,FALSE,TRUE,0,FALSE,FALSE,TRUE,0,0
124,124,Used,1042.47,2008,10,red,Honda,Off-Road,100,231,Private Seller,TRUE,TRUE,1,FALSE,FALSE,FALSE,0.468181818,0.602272727
125,125,Used,65905.22,2004,971,green,Harley-Davidson,Touring,100,290,other,FALSE,TRUE,0,FALSE,FALSE,FALSE,0,0
126,126,Used,22570.81,2017,30,red,Harley-Davidson,Touring,100,2,other,FALSE,TRUE,1,TRUE,FALSE,TRUE,0,0
127,127,Used,43361.99,2017,151,red,Harley-Davidson,Touring,100,1016,other,FALSE,TRUE,0,FALSE,FALSE,TRUE,0,0
128,128,Used,15216.28,2016,1302,blue,Harley-Davidson,Cruiser,100,1645,other,FALSE,TRUE,0,FALSE,FALSE,FALSE,0,0
129,129,Used,8747.08,2015,15466,black,Harley-Davidson,Cruiser,100,297819,other,FALSE,TRUE,1,FALSE,FALSE,FALSE,1,1
130,130,Used,40384.64,2016,6988,red,Harley-Davidson,Touring,100,1016,other,FALSE,TRUE,0,FALSE,FALSE,TRUE,0,0
131,131,Used,3640.57,2007,7775,black,Harley-Davidson,Standard,9.8,3280,other,TRUE,FALSE,1,FALSE,FALSE,FALSE,0.354166667,0.620833333
132,132,Used,2294.85,1976,13161,other,Kawasaki,Sport Bike,100,9,Private Seller,TRUE,FALSE,0,FALSE,FALSE,FALSE,0,0
133,133,Used,3427.37,1993,35000,black,Harley-Davidson,Cruiser,6.6,301,Private Seller,FALSE,TRUE,0,FALSE,FALSE,FALSE,0,0
134,134,Used,8747.08,2015,15466,black,Harley-Davidson,Cruiser,100,297819,other,FALSE,TRUE,1,FALSE,FALSE,FALSE,1,1
135,135,New,3810.84,2017,1,grey,Kawasaki,Naked,100,876,other,TRUE,FALSE,0,FALSE,FALSE,TRUE,0,0
136,136,Used,40384.64,2016,6988,red,Harley-Davidson,Touring,100,1016,other,FALSE,TRUE,0,FALSE,FALSE,TRUE,0,0
137,137,Used,14315.46,2014,7004,white,Harley-Davidson,Touring,100,3580,Private Seller,TRUE,FALSE,0,FALSE,FALSE,FALSE,0,0
138,138,Used,6411.02,1977,18000,blue,Harley-Davidson,Sport Bike,100,295,Private Seller,TRUE,FALSE,0,FALSE,FALSE,FALSE,0,0
139,139,Used,27714.84,2017,351,white,Harley-Davidson,Touring,100,762,other,FALSE,TRUE,0,FALSE,FALSE,TRUE,0.185714286,0.29047619
140,140,Used,6484.09,2006,11977,black,Harley-Davidson,Gasoline,100,4,other,TRUE,FALSE,0,FALSE,FALSE,TRUE,0,0
141,141,Used,4545.54,2003,25500,red,Harley-Davidson,Touring,100,59,Private Seller,TRUE,FALSE,0,FALSE,FALSE,FALSE,0,0
142,142,Used,819.04,1979,13300,other,Honda,Standard,100,406,Private Seller,FALSE,TRUE,0,FALSE,FALSE,FALSE,0,0
143,143,Used,6460.07,2003,72600,orange,Honda,Touring,100,123,Private Seller,TRUE,FALSE,0,FALSE,FALSE,FALSE,0,0
144,144,Used,48622.47,2014,8180,red,Harley-Davidson,Touring,100,1016,other,FALSE,TRUE,0,FALSE,FALSE,TRUE,0,0
145,145,Used,13843.25,2017,275,black,Harley-Davidson,Other,100,65,Private Seller,TRUE,TRUE,1,FALSE,FALSE,TRUE,0.068181818,0.227272727
146,146,Used,13423.88,2006,90379,white,BMW,Touring,96,718,other,TRUE,FALSE,0,FALSE,FALSE,TRUE,0,0
147,147,Used,14.78,1999,42000,green,Harley-Davidson,Touring,100,66,Private Seller,TRUE,FALSE,0,FALSE,FALSE,FALSE,0,0
148,148,Used,29028.66,2007,25183,other,Harley-Davidson,Touring,100,239,Private Seller,FALSE,TRUE,0,FALSE,FALSE,FALSE,0,0
149,149,New,43513.85,2017,101,orange,Harley-Davidson,Touring,100,75,Private Seller,FALSE,TRUE,0,FALSE,FALSE,TRUE,0,0
150,150,Used,6026.04,2007,39334,blue,Harley-Davidson,Touring,100,616,other,TRUE,FALSE,1,TRUE,TRUE,FALSE,0.125,0.4
151,151,Used,42142.36,2015,3555,black,Harley-Davidson,Touring,100,1016,other,FALSE,TRUE,0,FALSE,FALSE,TRUE,0,0
152,152,Used,19711,2014,4024,other,Harley-Davidson,Touring,100,19,Private Seller,TRUE,FALSE,0,FALSE,FALSE,TRUE,0,0
153,153,Used,62907.22,2016,3355,other,Harley-Davidson,Touring,100,1016,other,FALSE,TRUE,0,FALSE,FALSE,TRUE,0,0
154,154,Used,34139.33,2016,3755,blue,Harley-Davidson,Cruiser,100,1016,other,FALSE,TRUE,0,FALSE,FALSE,TRUE,0,0
