"","Condition","Price","Model_Year","Mileage","Exterior_Color","Make","Type","Feedback_Perc","N_Reviews","Seller_Status","Auction","Buy_Now","num_pos_words","uses_excl","all_caps","has_warranty","review_polarity","review_positivity"
"68","Used",8347.47,2005,19010,"yellow","BMW","Other",100,86,"Private Seller",TRUE,FALSE,0,FALSE,0,FALSE,0,0
"3700","New",9114.1,2017,0,"blue","Yamaha","Standard",80,375,"other",FALSE,FALSE,0,FALSE,0,FALSE,0,0
"2301","Used",14060.4,2012,10000,"blue","Harley-Davidson","Touring",100,172,"Private Seller",TRUE,TRUE,0,FALSE,0,FALSE,0,0
"3307","Used",10500.79,2015,219,"red","Other","Sport Bike",100,340,"other",FALSE,TRUE,0,FALSE,0,TRUE,0,0
"5121","Used",5342.74,2008,999999,"green","Kawasaki","Standard",100,1978,"other",FALSE,FALSE,0,FALSE,0,FALSE,0,0
"5234","Used",7022.39,2010,21183,"other","Harley-Davidson","Standard",4.7,12409,"other",FALSE,FALSE,0,FALSE,0,FALSE,0,0
"894","Used",6816.24,2013,327,"black","Harley-Davidson","Cruiser",100,120,"other",FALSE,TRUE,1,FALSE,0,FALSE,1,1
"3896","New",27698.1,2016,1,"other","Victory","Cruiser",80,375,"other",FALSE,FALSE,0,FALSE,0,FALSE,0,0
"2631","Used",2081.73,2007,23082,"green","Triumph","Sport Bike",100,117,"other",TRUE,TRUE,0,FALSE,0,FALSE,0,0
"1068","Used",3444.88,1997,8200,"red","Harley-Davidson","Cruiser",100,397,"Private Seller",FALSE,TRUE,0,FALSE,0,FALSE,0,0
"1177","Used",1200.15,2006,53193,"green","Kawasaki","Touring",100,140,"other",TRUE,FALSE,0,FALSE,0,FALSE,-0.125,0.375
"3068","Used",281.5,2018,0,"other","Triumph","Standard",100,1978,"other",TRUE,FALSE,0,FALSE,0,FALSE,0,0
"2956","Used",7567.12,2011,19692,"grey","BMW","Standard",100,92,"other",FALSE,TRUE,0,FALSE,0,FALSE,0,0
